PARK NAME, ZIP, PARK CLASS
PARK NO. 532, 60653, NEIGHBORHOOD PARK
HAAS (JOSEPH), 60647, NEIGHBORHOOD PARK
PARK NO. 560, 60654, UNIMPROVED PARK
JENSEN (CHRIST), 60625, NEIGHBORHOOD PARK
COLISEUM, 60605, NEIGHBORHOOD PARK
MARSHFIELD, 60620, NEIGHBORHOOD PARK
WICKER (CHARLES, JOEL), 60622, COMMUNITY PARK
PIETROWSKI (SYLVESTER), 60617, NEIGHBORHOOD PARK
COLUMBUS (CHRISTOPHER), 60644, CITYWIDE PARK
PARK WEST, 60614, MINI-PARK
DONOVAN (GEORGE), 60609, NEIGHBORHOOD PARK
KLEIN (LOIS), 60657, PASSIVE PARK
MORAN (TERRANCE), 60621, NEIGHBORHOOD PARK
RAVENSWOOD MANOR, 60625, NEIGHBORHOOD PARK
CANAL ORIGINS, 60608, PASSIVE PARK
BOGAN (WILLIAM), 60652, REGIONAL PARK
KUCINSKI-MURPHY (VICKI, ROSEBETH), 60608, NEIGHBORHOOD PARK
KENNEDY (DENNIS), 60655, COMMUNITY PARK
BUFFALO, 60625, PASSIVE PARK
NORTH SHORE BEACH, 60626, PASSIVE PARK
KEDVALE, 60651, NEIGHBORHOOD PARK
CALUMET, 60617, CITYWIDE PARK
BURNHAM GREENWAY, 60617, COMMUNITY PARK
MIDWAY PLAISANCE, 60637, CITYWIDE PARK
MONUMENT, 60631, NEIGHBORHOOD PARK
WASHINGTON (HAROLD) MEM., 60626, MINI-PARK
BROMANN (CHARLES), 60640, MINI-PARK
AVONDALE, 60618, COMMUNITY PARK
HUCKLEBERRY, 60637, MINI-PARK
CHESTNUT, 60637, MINI-PARK
AUSTIN FOSTER, 60630, NEIGHBORHOOD PARK
CLAREMONT, 60612, NEIGHBORHOOD PARK
HUBBARD (GURDON), 60644, MINI-PARK
BOLER (LEO ROSCOE, SR.), 60624, NEIGHBORHOOD PARK
HUMBERT (JAMES), 60616, MINI-PARK
HARRISON (CARTER), 60608, REGIONAL PARK
COOPER (JACK), 60643, NEIGHBORHOOD PARK
THROOP (AMOS GAGER), 60608, NEIGHBORHOOD PARK
MINUTEMAN, 60638, COMMUNITY PARK
KENNICOTT (JONATHAN), 60653, COMMUNITY PARK
SAUGANASH TRAIL, 60626, PASSIVE PARK
BLOCK, 60628, PASSIVE PARK
CENTENNIAL, 60631, PASSIVE PARK
CANALPORT RIVERWALK, 60608, PASSIVE PARK
WEST PULLMAN, 60628, REGIONAL PARK
LE CLAIRE COURTS - HEARST COMM. CTR, 60638, COMMUNITY PARK
JACOLIK (FLORIAN S.), 60608, MINI-PARK
PARK NO. 535, 60614, MINI-PARK
DAWES (CHARLES), 60620, COMMUNITY PARK
WILDWOOD, 60646, COMMUNITY PARK
MCGUANE (JOHN), 60608, COMMUNITY PARK
BIRCH, 60653, MINI-PARK
WOLCOTT (ALEXANDER), 60636, MINI-PARK
PARK NO. 527, 60621, UNIMPROVED PARK
KEYSTONE, 60639, MINI-PARK
PARK NO. 437, 60636, UNIMPROVED PARK
KELLY (JOHN), 60613, PASSIVE PARK
WASHTENAW, 60608, NEIGHBORHOOD PARK
FOREST GLEN, 60630, MINI-PARK
REVERE (PAUL), 60618, COMMUNITY PARK
CHRISTIANA, 60623, MINI-PARK
ROGERS (PHILLIP), 60645, REGIONAL PARK
ELSTON (DANIEL), 60618, MINI-PARK
NINEBARK, 60623, MINI-PARK
PARK NO. 468, 60629, UNIMPROVED PARK
HERITAGE GREEN, 60661, PASSIVE PARK
INDEPENDENCE, 60618, COMMUNITY PARK
GARFIELD (JAMES), 60624, CITYWIDE PARK
MALUS, 60609, NEIGHBORHOOD PARK
CHASE (SALMON), 60640, COMMUNITY PARK
EDISON (THOMAS ALVA), 60631, NEIGHBORHOOD PARK
EMERALD, 60621, MINI-PARK
VETERANS' MEMORIAL, 60617, NEIGHBORHOOD PARK
HASAN (ELLIOT), 60649, MINI-PARK
CONNORS (WILLIAM), 60611, PASSIVE PARK
WHITE (WILLYE B.), 60626, COMMUNITY PARK
HARTIGAN (DAVID) BEACH, 60626, NEIGHBORHOOD PARK
WENDT (KENNETH), 60657, MINI-PARK
BEVERLY, 60655, COMMUNITY PARK
FLYING SQUIRREL, 60637, MINI-PARK
CORNELL (PAUL), 60615, MINI-PARK
SENN (NICHOLAS), 60660, COMMUNITY PARK
PINE, 60617, MINI-PARK
SPRUCE, 60615, NEIGHBORHOOD PARK
BRIGHTON, 60632, NEIGHBORHOOD PARK
ORR (REZIN), 60624, COMMUNITY PARK
EMMERSON (LOUIS), 60660, NEIGHBORHOOD PARK
MOUNT GREENWOOD, 60655, REGIONAL PARK
GATELY (JAMES), 60628, COMMUNITY PARK
PARK NO. 523, 60617, UNIMPROVED PARK
BAULER (MATHIAS), 60614, NEIGHBORHOOD PARK
CARPENTER (PHILO), 60621, MINI-PARK
ASHMORE, 60630, MINI-PARK
NOTTINGHAM, 60638, PASSIVE PARK
PORTAGE, 60641, REGIONAL PARK
NASH (DON) COMM. CTR., 60649, COMMUNITY PARK
COTTONWOOD, 60644, MINI-PARK
FOSTER (J. FRANK), 60620, REGIONAL PARK
PARK NO. 326, 60637, MINI-PARK
BOSLEY (WILLIAM), 60608, NEIGHBORHOOD PARK
CLOVER, 60614, MINI-PARK
SMITH (WENDELL), 60628, NEIGHBORHOOD PARK
ASHE (ARTHUR) BEACH, 60649, NEIGHBORHOOD PARK
PALMER (POTTER), 60628, REGIONAL PARK
KORCZAK (JANUSZ), 60659, MINI-PARK
PARK NO. 557, 60645, PASSIVE PARK
STOUT (FLORENCE), 60615, NEIGHBORHOOD PARK
FERNWOOD, 60628, COMMUNITY PARK
COTTON TAIL, 60616, NEIGHBORHOOD PARK
BEEHIVE, 60637, MINI-PARK
COSME (MARGARET), 60620, NEIGHBORHOOD PARK
BESSEMER (HENRY), 60617, REGIONAL PARK
LUNA, 60621, MINI-PARK
NORTH PARK NATURE CENTER, 60646, NATURE PRESERVE PARK
DIXON (LORRAINE), 60619, PASSIVE PARK
PARK NO. 554, 60647, UNIMPROVED PARK
MUNROE, 60655, COMMUNITY PARK
GRANDPARENTS', 60656, NEIGHBORHOOD PARK
MANDRAKE (HENRY BROWN), 60653, COMMUNITY PARK
CARMEN, 60640, MINI-PARK
HANSBERRY (LORRAINE), 60637, MINI-PARK
AUSTIN (HENRY), 60644, COMMUNITY PARK
ROSENBLUM (J. LESLIE), 60649, COMMUNITY PARK
WANG (CHI CHE), 60657, UNIMPROVED PARK
DICKINSON (ARTHUR), 60641, NEIGHBORHOOD PARK
LUELLA, 60617, NEIGHBORHOOD PARK
PARK NO. 419, 60619, UNIMPROVED PARK
MARTIN (JOHNNY), 60657, MINI-PARK
BARTELME (MARY), 60602, NEIGHBORHOOD PARK
LELAND GIANTS, 60621, NEIGHBORHOOD PARK
LONDON (LOUIS), 60623, MINI-PARK
GLADYS (GUNDERSON), 60624, MINI-PARK
THUIS (GRACE ZWIEFKA), 60630, MINI-PARK
ROBINSON (JACKIE), 60643, REGIONAL PARK
PRATT (GEORGE, PAUL) BEACH, 60626, PASSIVE PARK
COLUMBIA BEACH, 60626, PASSIVE PARK
PRIVET, 60614, MINI-PARK
MULBERRY POINT, 60631, PASSIVE PARK
GINKGO, 60623, MINI-PARK
LA FOLLETTE (ROBERT), 60651, REGIONAL PARK
BACK OF THE YARDS, 60609, NEIGHBORHOOD PARK
LAKE MEADOWS, 60616, COMMUNITY PARK
SUNKEN GARDENS, 60625, PASSIVE PARK
PARK NO. 514, 60651, PASSIVE PARK
GREENBAUM (HENRY), 60639, NEIGHBORHOOD PARK
LINDBLOM (ROBERT), 60636, REGIONAL PARK
HERMITAGE, 60636, NEIGHBORHOOD PARK
FOSCO (PETER), 60608, NEIGHBORHOOD PARK
EDMONDS (MOLLY), 60621, MINI-PARK
BROOKS (GWENDOLYN), 60653, NEIGHBORHOOD PARK
